 #	t,	U,	K,	E,  T,	P
   0.00000000       2120.4277079670183       0.59565075073576124        2121.0233587177540       0.41800052683211314        13.495117391965122     
   5.0000000000000003E-002 -0.22652733988357038        2096.9094803581170        2096.6829530182335        1471.5154248127137        47.085905934357584     
  0.10000000000000001      -0.23989636989499866        2090.7213628476434        2090.4814664777482        1467.1728862088726        46.946883961855960     
  0.14999999999999999        3.7626465407306156        2080.7435887125425        2084.5062352532732        1460.1709394473983        46.751790828069531     
  0.20000000000000001      -0.42338489285621267        2078.8812740505755        2078.4578891577194        1458.8640519653163        46.680958946897512     
  0.25000000000000000      -0.46260011703078685        2072.9475729332853        2072.4849728162544        1454.7000511812530        46.547715376711771     
  0.29999999999999999       0.19489884358440329        2068.1445853192631        2068.3394841628474        1451.3295335573778        46.444390824085609     
  0.35000000000000003      -0.18125645825889075        2066.0193474180637        2065.8380909598050        1449.8381385389921        46.394937439015216     
  0.40000000000000002      -0.14000800075944780        2067.5660895919873        2067.4260815912280        1450.9235716434998        46.428519326840394     
  0.45000000000000001      -0.37610118187865915        2069.3136567837255        2068.9375556018467        1452.1499345850705        46.466277892119663     
  0.50000000000000000       0.24989877823362594        2069.8906178574434        2070.1405166356772        1452.5548195490830        46.484048329937885     
  0.55000000000000004       0.60829940115860270        1905.7531331407631        1906.3614325419217        1337.3706197479039        42.802240564650653     
  0.59999999999999998        44.713013331828456        2027.7131004198000        2072.4261137516282        1422.9565616981051        45.823618660451395     
  0.65000000000000002        4.7395117879720674        2053.0221741602295        2057.7616859482014        1440.7173152001610        46.137177917420750     
  0.70000000000000007       -9.0957971038985466E-002   2074.2215604227840        2074.1306024517448        1455.5940774896731        46.576834350467884     
  0.75000000000000000        1.9054619036332068        2070.0546122255864        2071.9600741292197        1452.6699033162008        46.500736983660204     
  0.80000000000000004        3.4662267191659808        2070.4253665084648        2073.8915932276309        1452.9300817603262        46.516523335213783     
  0.85000000000000009        3.1597447208477947        2066.8265007505652        2069.9862454714130        1450.4045619302212        46.437221002735477     
  0.90000000000000002        2.9475600892958269        2060.8297721476169        2063.7773322369126        1446.1963313316610        46.300298225725463     
  0.95000000000000007      -0.10974833266937159        2071.8918782797418        2071.7821299470725        1453.9592128278889        46.524366873654536     
   1.0000000000000000        58.269838480288264        2009.5090942429554        2067.7789327232435        1410.1818205213722        45.503836266505296     
